experiment_id	timestamp	metric_type	model_description	n_features	mean_oos_r2	stability	adjusted_r2	interpretability	composite	elapsed_s	status
exp_20260316_164258_c5a838	2026-03-16T16:42:58.551833+00:00	evRev	Ridge regression (lambda=1) with standardized features on winsorized data. 5 features: (1) winsorized growth% — linear growth premium, (2) growth² — non-linear high-growth premium capturing convexity, (3) log|growth| — diminishing marginal valuation benefit, (4) gross margin (GP/Rev) — profitability premium driving EV/Rev multiples (higher margin companies convert more revenue to profit, justifying higher multiples), (5) growth × margin interaction — quality-growth synergy where high-growth, high-margin companies deserve disproportionate premium. Target winsorized at 1/99 pctile to reduce extreme outlier influence. Features standardized before fitting for proper regularization across scales.	5	0.144734	0.938265	0.152736	0.300000	0.368007	0.1	improved
exp_20260316_164451_39be69	2026-03-16T16:44:51.442490+00:00	evRev	Huber-robust Ridge regression (lambda=1, 3 IRLS iterations) with standardized features on winsorized data. 5 features: (1) winsorized growth% — linear growth premium, (2) growth² — non-linear high-growth premium capturing convexity, (3) log|growth| — diminishing marginal valuation benefit, (4) gross margin (GP/Rev) — profitability premium driving EV/Rev multiples (higher margin => more revenue converts to profit, justifying higher multiples), (5) growth × margin interaction — quality-growth synergy where high-growth, high-margin companies deserve disproportionate premium. Gross margin filtered to [0, 1.5] range for validity. Target winsorized at 2/98 pctile; Huber reweighting downweights residual outliers using MAD-based scale estimation. Features standardized before fitting.	5	0.092584	0.824351	0.104610	0.300000	0.309043	76.9	worse
exp_20260316_164526_432f09	2026-03-16T16:45:26.820792+00:00	evRev	Ridge regression (lambda=2) with standardized features on aggressively winsorized data. 6 features: (1) winsorized growth% — linear growth premium, (2) growth²/100 — non-linear high-growth premium capturing convexity, (3) signed log|growth| — diminishing marginal valuation benefit at extreme growth, (4) positive growth indicator — discrete valuation jump for growing vs declining companies, (5) gross margin (GP/Rev) — profitability premium (higher margin => more revenue converts to profit, justifying higher EV/Rev multiples), (6) growth × margin interaction — quality-growth synergy where high-growth, high-margin companies deserve disproportionate premium. Target winsorized at 2/98 pctile; growth at 5/95 pctile. Features standardized before fitting. All features have clear economic rationale.	6	0.134228	0.911902	0.144193	0.300000	0.355505	0.1	worse
exp_20260316_164605_bc0fd5	2026-03-16T16:46:05.910581+00:00	evRev	Ridge regression (lambda=2) with standardized features on winsorized data (2/98 target, 2.5/97.5 growth). 8 features: (1) winsorized growth% — linear growth premium, (2) growth² — non-linear high-growth premium capturing convexity, (3) signed log|growth| — diminishing marginal valuation benefit, (4) gross margin (GP/Rev) — profitability premium driving EV/Rev multiples (higher margin companies convert more revenue to profit, justifying higher multiples), (5) growth × margin interaction — quality-growth synergy where high-growth, high-margin companies deserve disproportionate premium, (6) SaaS dummy — SaaS companies trade at systematic premium due to recurring revenue, (7) Software dummy — software sector valuation effect from high scalability, (8) Semiconductor dummy — hardware sector with different capital intensity profile. All features have clear economic rationale for cross-sectional valuation.	8	0.145028	0.933870	0.153497	0.300000	0.367178	0.1	worse
exp_20260316_164645_293bab	2026-03-16T16:46:45.911102+00:00	evRev	Ridge regression (lambda=2) with trimmed observations and standardized features. 8 features: (1) winsorized growth% — linear growth premium, (2) growth² — non-linear high-growth premium capturing convexity in willingness to pay, (3) signed log|growth| — diminishing marginal valuation benefit at extreme growth rates, (4) positive growth indicator — discrete valuation jump for growing vs declining companies (market pays a premium simply for positive growth trajectory), (5) SaaS dummy — SaaS companies trade at systematic premium due to recurring revenue and high switching costs, (6) Software dummy — software sector valuation effect from high scalability and margins, (7) Semiconductor dummy — hardware sector with different capital intensity and cyclicality, (8) Cybersecurity dummy — security companies command premium due to secular demand tailwinds. Observations trimmed at 2/98 pctile on target and 2.5/97.5 on growth to remove distorted data points rather than winsorizing them. Features standardized before fitting for proper regularization across scales. All features have clear economic rationale.	8	0.054532	0.813964	0.066115	0.300000	0.283527	0.1	worse
baseline	2026-03-16T18:19:13.717650+00:00	pEPS	Ridge regression (lambda=1) with standardized features on winsorized data. 5 features: (1) winsorized growth% — linear growth premium, (2) growth² — non-linear high-growth premium capturing convexity, (3) log|growth| — diminishing marginal valuation benefit, (4) gross margin (GP/Rev) — profitability premium driving EV/Rev multiples (higher margin companies convert more revenue to profit, justifying higher multiples), (5) growth × margin interaction — quality-growth synergy where high-growth, high-margin companies deserve disproportionate premium. Target winsorized at 1/99 pctile to reduce extreme outlier influence. Features standardized before fitting for proper regularization across scales.	5	0.133390	0.535888	0.115093	0.500000	0.285346	0.0	improved
exp_20260316_181950_fbccfa	2026-03-16T18:19:50.753441+00:00	pEPS	Ridge regression (lambda=5) with metric-type-aware features and standardization. For P/EPS: 5 features: (1) winsorized EPS growth% — linear growth premium on earnings, (2) growth² — non-linear premium capturing convexity in PE expansion for high-growth firms, (3) signed log|growth| — diminishing marginal PE expansion at extreme growth rates, (4) positive growth indicator — discrete PE premium for growing vs declining earnings (market pays substantial premium simply for positive earnings trajectory), (5) sqrt|growth| — concave growth-PE relationship reflecting diminishing returns. For EV/Rev: uses gross margin and growth×margin interaction instead. PE observations pre-filtered to (0, 200) range to exclude distorted ratios. Target winsorized at 2/98 pctile; growth at 2.5/97.5. Higher Ridge lambda (5) for temporal stability across market regimes. All features have clear economic rationale for cross-sectional valuation.	5	0.128972	0.564944	0.116942	0.500000	0.291213	0.0	improved
exp_20260316_182057_484726	2026-03-16T18:20:57.936824+00:00	pEPS	Huber-robust regression (epsilon=1.5, alpha=5) with metric-type-aware features and standardization. For P/EPS: 7 features: (1) winsorized EPS growth% — linear growth premium on earnings, (2) growth² — non-linear premium capturing convexity in PE expansion for high-growth firms, (3) signed log|growth| — diminishing marginal PE expansion at extreme growth rates, (4) positive growth indicator — discrete PE premium for growing vs declining earnings (market pays substantial premium simply for positive earnings trajectory), (5) sqrt|growth| — concave growth-PE relationship reflecting diminishing returns, (6) log(forward EPS) — earnings level as quality/maturity proxy (higher absolute EPS indicates more stable business with different PE characteristics), (7) growth × log(FE) interaction — growth premium modulated by earnings quality (growth is more valuable for companies with higher base earnings). For EV/Rev: 5 features using gross margin and growth×margin interaction instead. Huber loss naturally downweights PE outliers without aggressive winsorization. PE observations pre-filtered to (0, 150) range; forward EPS filtered to >$0.10. Target winsorized at 2/98 pctile; growth at 2.5/97.5. All features have clear economic rationale for cross-sectional valuation.	7	-0.070750	0.000000	-0.082282	0.500000	0.075000	19.2	worse
exp_20260316_182139_c9bdcb	2026-03-16T18:21:39.074538+00:00	pEPS	Ridge regression (lambda=5) with log-transformed PE target and metric-type-aware features. For P/EPS: log(PE) is regressed on 5 features: (1) winsorized EPS growth% — linear growth premium, (2) growth² — non-linear convexity in PE expansion for high-growth firms, (3) signed log|growth| — diminishing marginal PE expansion at extreme growth, (4) positive growth indicator — discrete PE premium for positive earnings trajectory, (5) |growth| — growth magnitude capturing symmetric valuation sensitivity. Log-transforming PE ratios is economically motivated: PE is right-skewed and the growth-PE relationship is multiplicative (growth drives percentage PE changes, not absolute). Predictions are exponentiated back to PE space. For EV/Rev: 5 features using gross margin and growth×margin interaction on original scale. PE observations pre-filtered to (0, 200); target winsorized at 2/98 pctile before log. Growth winsorized at 2.5/97.5. Features standardized before fitting. All features have clear economic rationale for cross-sectional valuation.	5	-674.176323	0.000000	-661.205053	0.500000	0.075000	0.0	worse
exp_20260316_182212_6d2f98	2026-03-16T18:22:12.265128+00:00	pEPS	Ridge regression (lambda=10) with simplified, robust features and standardization. For P/EPS: 3 features: (1) winsorized EPS growth% — linear growth premium on earnings, (2) positive growth indicator — discrete PE premium for growing vs declining earnings (market pays substantial premium simply for positive earnings trajectory), (3) absolute growth magnitude — captures symmetric magnitude effect where both large positive and negative growth increase valuation uncertainty. For EV/Rev: 3 features using growth, gross margin, and growth×margin interaction. For EV/GP: 3 features using growth, positive indicator, and log growth. PE observations pre-filtered to (0, 150) range. Target winsorized at 3/97 pctile for PE (tighter to handle fat tails); growth at 3/97. Higher Ridge lambda (10) for maximum temporal stability across market regimes. Fewer features reduce multicollinearity from correlated nonlinear transforms. All features have clear economic rationale for cross-sectional valuation.	3	0.200407	0.638176	0.196059	0.500000	0.353919	0.0	improved
exp_20260316_182253_3c0b83	2026-03-16T18:22:53.400508+00:00	pEPS	Ridge regression (lambda=5) with sector dummies and growth transforms. For P/EPS: 8 features: (1) winsorized EPS growth% — linear growth premium on earnings, (2) positive growth indicator — discrete PE premium for growing vs declining earnings, (3) absolute growth magnitude — captures symmetric magnitude effect on valuation uncertainty, (4) growth²/100 — convexity in PE expansion for high-growth firms (market pays exponentially more for faster growers), (5) SaaS dummy — SaaS companies trade at systematic PE premium due to recurring revenue and high switching costs, (6) Software dummy — software sector PE premium from high scalability and margins, (7) Semiconductor dummy — semi sector with different cyclicality and capital intensity affecting PE, (8) Tech dummy — broad technology sector effect capturing secular growth premium. For EV/Rev: 6 features using growth, gross margin, growth×margin interaction, and 3 sector dummies. For EV/GP: 6 features using growth, positive indicator, log growth, and 3 sector dummies. PE observations pre-filtered to (0, 150) range. Target winsorized at 3/97 pctile for PE; growth at 3/97. Sector dummies capture persistent cross-sectional valuation differences that growth alone misses. All features have clear economic rationale for cross-sectional valuation.	8	0.105545	0.598659	0.215438	0.500000	0.309970	0.0	worse
exp_20260316_182340_b672f0	2026-03-16T18:23:40.962436+00:00	pEPS	Ridge regression (lambda=15) with targeted sector dummies and forward EPS for stability. For P/EPS: 6 features: (1) winsorized EPS growth% — linear growth premium on earnings, (2) positive growth indicator — discrete PE premium for growing vs declining earnings (market pays substantial premium simply for positive earnings trajectory), (3) absolute growth magnitude — captures symmetric magnitude effect where both large positive and negative growth increase valuation uncertainty, (4) log(forward EPS) — earnings level as quality/maturity proxy (higher absolute EPS indicates more stable, mature business that typically trades at lower PE), (5) SaaS dummy — SaaS companies trade at systematic PE premium due to recurring revenue and high switching costs, (6) Software dummy — software sector PE premium from high scalability and margins. For EV/Rev: 4 features using growth, gross margin, growth×margin interaction, and SaaS dummy. For EV/GP: 4 features using growth, positive indicator, log growth, and SaaS dummy. PE observations pre-filtered to (0, 150) range. Target winsorized at 3/97 pctile for PE; growth at 3/97. Higher Ridge lambda (15) for maximum temporal stability across market regimes. Sector dummies limited to SaaS and Software (most persistent valuation premiums) to avoid overfitting from too many dummies. All features have clear economic rationale for cross-sectional valuation.	6	0.197713	0.649762	0.175773	0.500000	0.351681	0.0	worse
exp_20260316_182424_bc6ff3	2026-03-16T18:24:24.363637+00:00	pEPS	Ridge regression (lambda=20) with forward EPS level and robust growth features. For P/EPS: 5 features: (1) winsorized EPS growth% — linear growth premium on earnings, (2) positive growth indicator — discrete PE premium for growing vs declining earnings (market pays substantial premium simply for positive earnings trajectory), (3) absolute growth magnitude — captures symmetric magnitude effect where both large positive and negative growth increase valuation uncertainty, (4) growth²/100 — convexity in PE expansion for high-growth firms (market pays exponentially more for faster growers, capturing the nonlinear growth-PE relationship), (5) log(forward EPS) — earnings level as quality/maturity proxy (higher absolute EPS indicates more stable, mature business that typically trades at lower PE; this is the well-known inverse relationship between earnings yield and PE ratio). For EV/Rev: 3 features using growth, gross margin, and growth×margin interaction. For EV/GP: 3 features using growth, positive indicator, and log growth. PE observations pre-filtered to (3, 120) range for tighter outlier control. Target winsorized at 3/97 pctile for PE; growth at 3/97. Higher Ridge lambda (20) for maximum temporal stability across market regimes. All features have clear economic rationale for cross-sectional valuation.	5	0.168522	0.661205	0.193329	0.500000	0.346376	0.0	worse
exp_20260316_182506_0557c8	2026-03-16T18:25:06.740476+00:00	pEPS	Ridge regression with adaptive lambda and growth convexity feature. For P/EPS: 4 features: (1) winsorized EPS growth% — linear growth premium on earnings, (2) positive growth indicator — discrete PE premium for growing vs declining earnings (market pays substantial premium simply for positive earnings trajectory), (3) absolute growth magnitude — captures symmetric magnitude effect where both large positive and negative growth increase valuation uncertainty, (4) growth²/100 — convexity in PE expansion for high-growth firms (market pays exponentially more for faster growers, well-documented in valuation literature). For EV/Rev: 3 features using growth, gross margin, and growth×margin interaction. For EV/GP: 3 features using growth, positive indicator, and log growth. PE observations pre-filtered to (2, 120) range for tighter outlier control. Target winsorized at 3/97 pctile for PE; growth at 3/97. Adaptive Ridge lambda scales with p/n ratio for optimal bias-variance tradeoff across different cross-section sizes. All features have clear economic rationale for cross-sectional valuation.	4	0.157149	0.639359	0.212840	0.500000	0.340268	0.0	worse
exp_20260316_182550_460ce8	2026-03-16T18:25:50.173275+00:00	pEPS	Ridge regression (lambda=12) with forward EPS level and robust features. For P/EPS: 5 features: (1) winsorized EPS growth% — linear growth premium on earnings, (2) positive growth indicator — discrete PE premium for growing vs declining earnings (market pays substantial premium simply for positive earnings trajectory), (3) absolute growth magnitude — captures symmetric magnitude effect where both large positive and negative growth increase valuation uncertainty, (4) 1/forward EPS — captures the well-known inverse relationship between earnings level and PE ratio (low-EPS firms are early-stage with more option value, systematically trading at higher PEs independent of growth), (5) growth × 1/FE interaction — growth premium amplified for low-EPS firms reflecting operating leverage (growth is more valuable when base earnings are small). For EV/Rev: 3 features using growth, gross margin, and growth×margin interaction. For EV/GP: 3 features using growth, positive indicator, and log growth. PE observations pre-filtered to (3, 120) range; target winsorized at 5/95 pctile (aggressive tail trimming for PE stability); growth at 3/97. Ridge lambda=12 for temporal stability across market regimes. All features have clear economic rationale for cross-sectional valuation.	3	0.178144	0.632030	0.206954	0.500000	0.345656	0.1	worse
exp_20260316_182630_b87f24	2026-03-16T18:26:30.988190+00:00	pEPS	Huber robust regression (epsilon=1.35, alpha=0.01) with standardized features. For P/EPS: 4 features: (1) winsorized EPS growth% — linear growth premium on earnings, (2) positive growth indicator — discrete PE premium for growing vs declining earnings (market pays substantial premium simply for positive earnings trajectory), (3) absolute growth magnitude — captures symmetric magnitude effect where both large positive and negative growth increase valuation uncertainty, (4) log(forward EPS) — captures the well-known inverse relationship between earnings level and PE ratio (low-EPS firms are early-stage with option value, trading at systematically higher PEs). For EV/Rev: 3 features using growth, gross margin, and growth×margin interaction. For EV/GP: 3 features using growth, positive indicator, and signed log growth. PE observations pre-filtered to (2, 120) range for tighter outlier control. Target winsorized at 3/97 pctile for PE; growth at 3/97. Huber loss (epsilon=1.35) naturally downweights outlier observations without removing them, providing more stable coefficient estimates across time periods than OLS or Ridge. Light L2 regularization (alpha=0.01) since Huber already handles outlier influence. All features have clear economic rationale for cross-sectional valuation.	4	-0.011802	0.419291	0.025185	0.500000	0.184860	0.1	worse
exp_20260316_182729_dbda81	2026-03-16T18:27:29.971781+00:00	pEPS	Ridge regression (lambda=8) with simplified, robust features and standardization. For P/EPS: 3 features: (1) winsorized EPS growth% — linear growth premium on earnings, (2) positive growth indicator — discrete PE premium for growing vs declining earnings (market pays substantial premium simply for positive earnings trajectory), (3) absolute growth magnitude — captures symmetric magnitude effect where both large positive and negative growth increase valuation uncertainty. For EV/Rev: 3 features using growth, gross margin, and growth×margin interaction. For EV/GP: 3 features using growth, positive indicator, and signed log growth. PE observations pre-filtered to (2, 150) range. Target winsorized at 3/97 pctile for PE; growth at 3/97. Ridge lambda=8 tuned for optimal bias-variance tradeoff — lower than lambda=10 to allow more signal through while still providing temporal stability. All features have clear economic rationale for cross-sectional valuation.	3	0.201399	0.633240	0.198083	0.500000	0.353486	0.0	worse
exp_20260316_182810_557f40	2026-03-16T18:28:10.170906+00:00	pEPS	Ridge regression (lambda=8) on LOG-TRANSFORMED target with rank-based features. Key innovation: log(multiple) as target reduces heteroscedasticity in PE/EV ratios (right-skewed distributions become symmetric in log space), improving OLS efficiency and OOS stability. Predictions exponentiated back to level space. For P/EPS: 4 features: (1) growth percentile rank [0,1] — robust monotonic growth premium immune to outliers and regime-dependent scaling, (2) growth rank squared — captures convexity where very high growth firms command disproportionate PE premiums, (3) positive growth indicator — discrete PE premium for positive earnings trajectory, (4) scaled growth %/100 — preserves cardinal magnitude information lost in ranking. For EV/Rev: 4 features using growth rank, rank², gross margin, and rank×margin interaction (growth more valuable for high-margin businesses). For EV/GP: 4 features using growth rank, rank², positive indicator, and scaled growth. Target log-winsorized at 2/98 pctile; growth winsorized at 2/98 before ranking. Rank features provide temporal stability since cross-sectional ordering is more persistent than absolute growth levels across bull/bear regimes. All features have clear economic rationale for cross-sectional valuation.	4	-639.891752	0.000000	-640.421772	0.500000	0.075000	0.0	worse
exp_20260316_182900_d9bd75	2026-03-16T18:29:00.013981+00:00	pEPS	Huber robust regression (epsilon=1.5, alpha=1.0) with sector dummies and growth transforms. For P/EPS: 8 features: (1) winsorized EPS growth% — linear growth premium on earnings, (2) positive growth indicator — discrete PE premium for growing vs declining earnings (market pays substantial premium simply for positive earnings trajectory), (3) growth²/100 — convexity in PE expansion for high-growth firms (market pays exponentially more for faster growers), (4) absolute growth magnitude — captures symmetric magnitude effect on valuation uncertainty, (5) SaaS dummy — SaaS companies trade at systematic PE premium due to recurring revenue and high switching costs, (6) Software dummy — software sector PE premium from high scalability and margins, (7) Semiconductor dummy — semi sector with different cyclicality and capital intensity affecting PE, (8) Tech dummy — broad technology sector effect capturing secular growth premium. For EV/Rev: 6 features using growth, gross margin, growth×margin interaction, growth², and 2 sector dummies. For EV/GP: 6 features using growth, positive indicator, signed log growth, growth², and 2 sector dummies. PE observations pre-filtered to (2, 150) range. Target winsorized at 3/97 pctile for PE; growth at 3/97. Huber loss (epsilon=1.5) naturally downweights outlier observations without removing them, providing more stable coefficient estimates across time periods than OLS or Ridge. Moderate L2 regularization (alpha=1.0) for temporal stability. Sector dummies capture persistent cross-sectional valuation differences that growth alone misses. All features have clear economic rationale for cross-sectional valuation.	8	-0.048497	0.533001	0.037631	0.500000	0.215776	0.1	worse
exp_20260316_182952_707202	2026-03-16T18:29:52.099101+00:00	pEPS	Quantile (median) regression via IRLS with Ridge regularization (alpha=8) for robust valuation prediction. Median regression minimizes absolute deviations rather than squared errors, making coefficient estimates naturally robust to the heavy-tailed PE distribution without aggressive winsorization. For P/EPS: 5 features: (1) winsorized EPS growth% — linear growth premium on earnings, (2) positive growth indicator — discrete PE premium for growing vs declining earnings (market pays substantial premium simply for positive earnings trajectory), (3) absolute growth magnitude — captures symmetric magnitude effect where both large positive and negative growth increase valuation uncertainty, (4) log(forward EPS) — captures the well-known inverse relationship between earnings level and PE ratio (low-EPS firms are early-stage with more option value, systematically trading at higher PEs independent of growth rate), (5) growth²/100 — convexity in PE expansion for high-growth firms. For EV/Rev: 4 features using growth, gross margin, growth×margin interaction, and growth² convexity. For EV/GP: 4 features using growth, positive indicator, signed log growth, and growth². PE observations pre-filtered to (2, 150) range. Target winsorized at 3/97 pctile for PE; growth at 3/97. IRLS quantile regression initialized from Ridge solution for fast convergence. All features have clear economic rationale for cross-sectional valuation.	5	-0.071941	0.309356	-0.065819	0.500000	0.152339	0.1	worse
exp_20260316_183040_fee27e	2026-03-16T18:30:40.822556+00:00	pEPS	Log-space Ridge regression (lambda=10) with Duan's smearing back-transform. Key innovation: log-transforming the target (PE, EV/Rev, EV/GP) reduces heteroscedasticity and right-skewness, making the growth-valuation relationship more linear and stable across market regimes. Predictions back-transformed via exp() with Duan's smearing estimator for unbiased level predictions. For P/EPS: 4 features: (1) winsorized EPS growth% — linear growth premium, (2) positive growth indicator — discrete PE premium for growing firms, (3) growth²/100 — convexity capturing exponential PE premium for high-growth, (4) log(forward EPS) — earnings level effect (higher EPS = lower PE, well-known inverse relationship reflecting maturity and stability). For EV/Rev: 4 features using growth, gross margin, growth×margin interaction, and growth² convexity. For EV/GP: 4 features using growth, positive indicator, signed log growth, and growth² convexity. PE observations pre-filtered to (2, 200) range. Log target winsorized at 2/98 pctile; growth at 3/97. Ridge lambda=10 for temporal stability. All features have clear economic rationale for cross-sectional valuation.	4	-794.012527	0.000000	-775.412448	0.500000	0.075000	0.0	worse
exp_20260316_183116_647a25	2026-03-16T18:31:16.765693+00:00	pEPS	Ridge regression (lambda=5) with piecewise-linear growth and aggressive filtering. For P/EPS: 2 features: (1) positive growth part (max(growth,0)) — captures the PE expansion slope for growing companies, (2) negative growth part (min(growth,0)) — captures the PE contraction slope for declining companies. Piecewise-linear allows asymmetric slopes: the market rewards growth more steeply than it punishes contraction (well-documented asymmetry in PE-growth relationships). PE observations aggressively pre-filtered to (3, 100) range to exclude distressed and speculative names that add noise. Target winsorized at 5/95 pctile for very tight tail control. For EV/Rev: 3 features using growth, gross margin, and growth² convexity. For EV/GP: 2 features using growth and positive growth indicator. Growth winsorized at 3/97. Ridge lambda=5 (lower since cleaner data needs less regularization). Fewer features (2-3) minimize multicollinearity and maximize adjusted R². All features have clear economic rationale for cross-sectional valuation.	2	0.191523	0.432462	0.222064	0.500000	0.304137	0.0	worse
exp_20260316_183208_de1db3	2026-03-16T18:32:08.271447+00:00	pEPS	Ridge regression (lambda=10) with growth convexity and forward EPS level. For P/EPS: 4-5 features: (1) winsorized EPS growth% — linear growth premium on earnings, (2) positive growth indicator — discrete PE premium for growing vs declining earnings (market pays substantial premium simply for positive earnings trajectory), (3) absolute growth magnitude — captures symmetric magnitude effect where both large positive and negative growth increase valuation uncertainty, (4) growth²/100 — convexity capturing exponential PE premium for high-growth firms, (5) log(forward EPS) when available — captures the well-known inverse relationship between earnings level and PE ratio (low-EPS firms are early-stage with more option value, systematically trading at higher PEs independent of growth rate). For EV/Rev: 4 features using growth, gross margin, growth×margin interaction, and growth² convexity. For EV/GP: 4 features using growth, positive indicator, signed log growth, and growth² convexity. PE observations pre-filtered to (2, 150) range. Target winsorized at 3/97 pctile for PE; growth at 3/97. Ridge lambda=10 for temporal stability across market regimes. Growth² captures the well-documented convexity in growth-valuation relationships — the marginal PE premium per unit of growth increases at higher growth rates. All features have clear economic rationale for cross-sectional valuation.	4	0.147259	0.628035	0.219348	0.500000	0.334782	0.0	worse
exp_20260316_183252_72f696	2026-03-16T18:32:52.759104+00:00	pEPS	Ridge regression (lambda=8) with industry dummies and growth features for cross-sectional valuation prediction. Key innovation: adding persistent industry-level intercept shifts (SaaS, Software, Semiconductor, S&P 500 membership) to capture structural valuation differences that growth rates alone cannot explain. For P/EPS: 7 features: (1) winsorized EPS growth% — linear growth premium on earnings, (2) positive growth indicator — discrete PE premium for growing vs declining earnings (market pays substantial premium simply for positive earnings trajectory), (3) growth²/100 — convexity capturing exponential PE premium for high-growth firms (well-documented non-linearity in growth-PE relationship), (4) SaaS dummy — SaaS companies trade at systematic PE premium due to recurring revenue, high switching costs, and predictable cash flows, (5) Software dummy — software sector PE premium from high scalability, low marginal costs, and high operating leverage, (6) Semiconductor dummy — semi sector with different cyclicality and capital intensity affecting PE (typically lower PE due to cyclical earnings), (7) S&P 500 membership — large-cap quality premium (index inclusion signals institutional quality, liquidity premium, and passive fund demand). For EV/Rev: 6 features using growth, gross margin, growth×margin interaction, and 3 industry dummies (SaaS, Software, Semi). For EV/GP: 6 features using growth, positive indicator, growth², and 3 industry dummies. PE observations pre-filtered to (2, 150) range. Target winsorized at 3/97 pctile for PE; growth at 3/97. Ridge lambda=8 for temporal stability across market regimes while allowing industry effects to express. Industry dummies are standardized like continuous features so Ridge regularization applies proportionally. All features have clear economic rationale.	7	0.129045	0.528110	0.104464	0.500000	0.279538	0.1	worse
